Facility Id,FRS Id,Reported City,Reported State,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2019 Total reported emissions from Onshore Oil & Gas Production ,2018 Total reported emissions from Onshore Oil & Gas Production ,2017 Total reported emissions from Onshore Oil & Gas Production ,2016 Total reported emissions from Onshore Oil & Gas Production ,2015 Total reported emissions from Onshore Oil & Gas Production ,2014 Total reported emissions from Onshore Oil & Gas Production ,2013 Total reported emissions from Onshore Oil & Gas Production ,2012 Total reported emissions from Onshore Oil & Gas Production ,2011 Total reported emissions from Onshore Oil & Gas Production 
1010809,110056383248,Denver,CO,Denver,39.75231,-104.99906,211111,W-ONSH,,,,,,,,939.25,
1010807,110056383266,Denver,CO,Denver,39.75231,-104.99906,211111,W-ONSH,,,,,,,,"29,826.80",
1010808,110056383266,Denver,CO,DENVER COUNTY,39.75256,-104.99887,211111,W-ONSH,,,,,,,,400.85,
1010182,110012364967,Denver,CO,DENVER COUNTY,39.75256,-104.99887,211111,W-ONSH,,,,,,,,"55,495.05","96,858.25"
1010603,110022327338,Houston,TX,TULSA COUNTY,36.073218,-95.922258,211111,W-ONSH,,,,"4,133.67","9,210.60","11,424.40","52,424.99",,
1008221,110022327338,Tulsa,OK,TULSA COUNTY,36.073218,-95.922258,211111,W-ONSH,,,,,,,,,"78,682.27"
1008224,110054095402,Houston,TX,HARRIS COUNTY,29.74592,-95.55962,211130,W-ONSH,"94,850.76","84,091.59","26,892.20","48,272.09","87,194.43","148,819.45","109,369.50","113,038.07","87,706.77"
1009391,110034987566,Midland,TX,MIDLAND COUNTY,32.03544,-102.08652,211120,W-ONSH,"264,941.68","237,425.38","224,093.77","161,393.95","233,427.61","357,543.36","415,901.45","831,300.91","920,656.86"
1011803,110070082147,San Antonio,TX,,29.610018,-98.604853,211120,W-ONSH,"290,066.46","521,013.53","553,926.43","525,661.33","52,893.64",,,,
1010721,110045615205,Spring,TX,HARRIS COUNTY,29.93876,-95.3509,211130,W-ONSH,"497,780.49","413,851.17","259,537.83","101,606.75","213,208.37","264,272.29","93,420.59","43,531.76",
1008937,110038071181,Williamsport,PA,,41.241182,-77.0010648,211130,W-ONSH,"122,764.53","82,243.83","64,890.74","103,111.12","97,517.59","115,599.63","175,063.15","183,180.87","704,800.90"
1008440,110055513387,Charleston,WV,KANAWHA,38.35082,-81.63328,211111,W-ONSH,,,,,,,,,"104,349.85"
1008456,110055513476,Fort Worth,TX,TARRANT COUNTY,32.717251,-97.443544,211120,W-ONSH,"137,135.72","138,463.34","139,461.94","122,040.77","143,509.29","173,216.51","159,049.93","152,706.15","120,972.15"
